condition,var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
placebo,duration_mins,1,"24.50 [24.50, 24.50]",1,"23.50 [23.50, 23.50]",1.0,1.00,1.00
placebo,word_count,1,"2401.00 [2401.00, 2401.00]",1,"2310.00 [2310.00, 2310.00]",1.0,1.00,1.00
placebo,line_count,1,"49.00 [49.00, 49.00]",1,"47.00 [47.00, 47.00]",1.0,1.00,1.00
mdma_high,duration_mins,1,"26.00 [26.00, 26.00]",1,"23.50 [23.50, 23.50]",1.0,1.00,1.00
mdma_high,word_count,1,"2576.00 [2576.00, 2576.00]",1,"2315.00 [2315.00, 2315.00]",1.0,1.00,1.00
mdma_high,line_count,1,"52.00 [52.00, 52.00]",1,"47.00 [47.00, 47.00]",1.0,1.00,1.00
