var_x,var_y,n_low,r_[CI]_low,FDR_low,n_high,r_[CI]_high,FDR_high
gpt5_open_boundary_openness,n_first_person_singular_to_n_words,181,"-0.24 [-0.36, -0.13]",1.92x10-3**,198,"0.19 [0.07, 0.31]",8.47x10-3**
gpt5_open_boundary_openness,n_third_person_to_n_words,181,"0.26 [0.13, 0.39]",1.36x10-3**,198,"-0.06 [-0.17, 0.05]",0.37
