condition,var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
placebo,duration_mins,4,"17.80 [4.80, 37.99]",4,"15.01 [12.53, 16.35]",8.0,0.50,1.00
placebo,word_count,4,"2805.50 [702.50, 5860.50]",4,"2459.00 [2104.00, 2589.25]",8.0,0.50,1.00
placebo,line_count,4,"55.50 [14.75, 116.75]",4,"45.50 [39.25, 50.50]",8.0,0.50,1.00
mdma_high,duration_mins,5,"15.53 [14.74, 18.92]",4,"26.06 [24.14, 27.11]",4.0,0.80,0.29
mdma_high,word_count,5,"2858.00 [2316.00, 3016.00]",4,"3887.00 [3648.00, 4000.75]",4.0,0.80,0.29
mdma_high,line_count,5,"55.00 [47.00, 69.00]",4,"86.50 [77.00, 93.50]",5.0,0.75,0.29
