var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
n_second_person_singular_to_n_words,207,"0.00 [0.00, 0.03]",93,"0.01 [0.00, 0.03]","9,262.5",0.52,0.58
pause_duration_per_sec,207,"0.00 [0.00, 0.00]",93,"0.00 [0.00, 0.08]","8,761",0.54,0.13
jitter,207,"0.02 [0.02, 0.02]",93,"0.02 [0.02, 0.03]","5,739",0.70,1.12x10-7***
n_first_person_singular_to_n_words,207,"0.10 [0.07, 0.14]",93,"0.08 [0.04, 0.11]","12,216",0.63,4.83x10-4***
words_per_sec,207,"2.40 [2.05, 2.92]",93,"2.71 [2.38, 3.17]","7,539",0.61,4.47x10-3**
