condition,var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
placebo,duration,207,"19.88 [14.09, 26.42]",93,"17.77 [13.48, 22.07]",11060.0,0.57,0.08+
placebo,word_count,207,"48.00 [34.00, 64.00]",93,"46.00 [35.00, 64.00]",9605.0,0.50,0.98
mdma_high,duration,182,"17.01 [13.29, 24.46]",198,"16.86 [12.62, 23.71]",18521.5,0.51,0.64
mdma_high,word_count,182,"46.00 [35.00, 68.75]",198,"40.50 [31.00, 62.75]",20693.0,0.57,0.02*
