biotype,var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
high,duration,93,"17.77 [13.48, 22.07]",198,"16.86 [12.62, 23.71]",9329.0,0.51,0.86
high,word_count,93,"46.00 [35.00, 64.00]",198,"40.50 [31.00, 62.75]",10472.0,0.57,0.12
low,duration,207,"19.88 [14.09, 26.42]",182,"17.01 [13.29, 24.46]",21284.5,0.56,0.05+
low,word_count,207,"48.00 [34.00, 64.00]",182,"46.00 [35.00, 68.75]",18401.5,0.51,0.69
