biotype,var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
high,duration,177,"18.07 [13.35, 23.49]",336,"16.42 [12.50, 22.99]",32013.0,0.54,0.15
high,word_count,177,"47.00 [34.00, 65.00]",336,"39.00 [30.00, 58.00]",35034.5,0.59,1.80x10-3**
low,duration,304,"19.01 [13.67, 26.08]",331,"15.93 [12.69, 22.89]",56948.0,0.57,8.08x10-3**
low,word_count,304,"46.00 [34.00, 63.25]",331,"44.00 [32.00, 63.00]",51148.5,0.51,0.72
