var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
audio_predicted_emotion,93,"0.54 [0.47, 0.64]",198,"0.54 [0.46, 0.60]","9,809",0.53,0.56
words_per_sec,93,"2.71 [2.38, 3.17]",198,"2.57 [2.09, 3.03]","10,669",0.58,0.07+
pause_duration_per_sec,93,"0.00 [0.00, 0.08]",198,"0.08 [0.00, 0.29]","6,683",0.64,2.64x10-4***
jitter,93,"0.02 [0.02, 0.03]",198,"0.03 [0.02, 0.03]","7,319",0.60,0.02*
n_first_person_singular_to_n_words,93,"0.08 [0.04, 0.11]",198,"0.08 [0.04, 0.12]","9,127",0.50,0.91
n_present_to_n_words,93,"0.05 [0.03, 0.07]",198,"0.05 [0.03, 0.08]","8,643",0.53,0.56
pitch_std,93,"145.40 [97.21, 167.00]",198,"143.04 [95.95, 168.41]","9,448",0.51,0.84
