var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
audio_predicted_emotion,207,"0.50 [0.43, 0.56]",93,"0.54 [0.47, 0.64]","7,205",0.63,1.16x10-3**
words_per_sec,207,"2.40 [2.05, 2.92]",93,"2.71 [2.38, 3.17]","7,539",0.61,4.70x10-3**
pause_duration_per_sec,207,"0.00 [0.00, 0.00]",93,"0.00 [0.00, 0.08]","8,761",0.54,0.10
jitter,207,"0.02 [0.02, 0.02]",93,"0.02 [0.02, 0.03]","5,739",0.70,1.57x10-7***
n_first_person_singular_to_n_words,207,"0.10 [0.07, 0.14]",93,"0.08 [0.04, 0.11]","12,216",0.63,6.77x10-4***
n_present_to_n_words,207,"0.06 [0.04, 0.09]",93,"0.05 [0.03, 0.07]","11,207",0.58,0.03*
pitch_std,207,"151.60 [109.70, 189.75]",93,"145.40 [97.21, 167.00]","11,181",0.58,0.03*
