var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
audio_predicted_emotion,182,"0.55 [0.46, 0.62]",198,"0.54 [0.46, 0.60]","18,950",0.53,0.45
words_per_sec,182,"2.72 [2.28, 3.26]",198,"2.57 [2.09, 3.03]","21,090",0.59,7.15x10-3**
pause_duration_per_sec,182,"0.00 [0.00, 0.00]",198,"0.08 [0.00, 0.29]","10,692.5",0.70,3.93x10-15***
jitter,182,"0.02 [0.02, 0.03]",198,"0.03 [0.02, 0.03]","10,671",0.70,2.28x10-11***
n_first_person_singular_to_n_words,182,"0.10 [0.06, 0.14]",198,"0.08 [0.04, 0.12]","21,412.5",0.59,3.50x10-3**
n_present_to_n_words,182,"0.05 [0.03, 0.08]",198,"0.05 [0.03, 0.08]","18,217",0.51,0.85
pitch_std,182,"139.80 [91.57, 192.33]",198,"143.04 [95.95, 168.41]","20,555",0.57,0.02*
