biotype,var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
high,duration_mins,4,"15.01 [12.53, 16.35]",4,"26.06 [24.14, 27.11]",0.0,1.00,0.03*
high,word_count,4,"2459.00 [2104.00, 2589.25]",4,"3887.00 [3648.00, 4000.75]",0.0,1.00,0.03*
high,line_count,4,"45.50 [39.25, 50.50]",4,"86.50 [77.00, 93.50]",0.0,1.00,0.03*
low,duration_mins,4,"17.80 [4.80, 37.99]",5,"15.53 [14.74, 18.92]",9.0,0.55,0.90
low,word_count,4,"2805.50 [702.50, 5860.50]",5,"2858.00 [2316.00, 3016.00]",9.0,0.55,0.90
low,line_count,4,"55.50 [14.75, 116.75]",5,"55.00 [47.00, 69.00]",9.0,0.55,0.90
