var_x,var_y,n,r_[CI],FDR
gpt5_open_boundary_openness,audio_predicted_emotion,300,"-0.10 [-0.20, -0.01]",0.14
gpt5_open_boundary_openness,text_predicted_emotion,300,"-0.03 [-0.12, 0.06]",0.59
