condition,var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
placebo,duration,304,"19.01 [13.67, 26.08]",177,"18.07 [13.35, 23.49]",28937.0,0.54,0.33
placebo,word_count,304,"46.00 [34.00, 63.25]",177,"47.00 [34.00, 65.00]",25923.5,0.52,0.50
mdma_high,duration,331,"15.93 [12.69, 22.89]",336,"16.42 [12.50, 22.99]",56158.5,0.50,0.82
mdma_high,word_count,331,"44.00 [32.00, 63.00]",336,"39.00 [30.00, 58.00]",62072.5,0.56,0.02*
