condition,var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
placebo,duration_mins,4,"10.97 [3.04, 25.50]",4,"6.83 [5.58, 8.47]",8.0,0.50,1.00
placebo,word_count,4,"1824.00 [437.50, 4014.00]",4,"1141.00 [949.75, 1362.75]",8.0,0.50,1.00
placebo,line_count,4,"34.00 [9.25, 76.50]",4,"22.00 [18.50, 26.75]",8.0,0.50,1.00
mdma_high,duration_mins,5,"6.13 [6.10, 8.62]",4,"16.71 [14.16, 17.88]",5.0,0.75,0.41
mdma_high,word_count,5,"1266.00 [1015.00, 1282.00]",4,"2612.00 [2148.75, 2778.00]",6.0,0.70,0.41
mdma_high,line_count,5,"23.00 [22.00, 29.00]",4,"54.00 [43.50, 60.00]",5.0,0.75,0.41
