biotype,var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
high,duration_mins,4,"6.83 [5.58, 8.47]",4,"16.71 [14.16, 17.88]",1.0,0.94,0.11
high,word_count,4,"1141.00 [949.75, 1362.75]",4,"2612.00 [2148.75, 2778.00]",2.0,0.88,0.11
high,line_count,4,"22.00 [18.50, 26.75]",4,"54.00 [43.50, 60.00]",2.0,0.88,0.11
low,duration_mins,4,"10.97 [3.04, 25.50]",5,"6.13 [6.10, 8.62]",9.0,0.55,0.90
low,word_count,4,"1824.00 [437.50, 4014.00]",5,"1266.00 [1015.00, 1282.00]",9.0,0.55,0.90
low,line_count,4,"34.00 [9.25, 76.50]",5,"23.00 [22.00, 29.00]",9.0,0.55,0.90
