condition,var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
placebo,audio_predicted_emotion,207,"0.50 [0.43, 0.56]",93,"0.54 [0.47, 0.64]",7205.0,0.63,9.93x10-4***
placebo,text_predicted_emotion,207,"0.62 [0.52, 0.75]",93,"0.65 [0.47, 0.77]",9356.0,0.51,0.70
mdma_high,audio_predicted_emotion,182,"0.55 [0.46, 0.62]",198,"0.54 [0.46, 0.60]",18950.0,0.53,0.39
mdma_high,text_predicted_emotion,182,"0.68 [0.54, 0.79]",198,"0.68 [0.58, 0.78]",17100.0,0.53,0.39
