var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
n_second_person_singular_to_n_words,207,"0.00 [0.00, 0.03]",182,"0.00 [0.00, 0.03]","18,645.5",0.51,0.85
pause_duration_per_sec,207,"0.00 [0.00, 0.00]",182,"0.00 [0.00, 0.00]","20,216",0.54,0.11
jitter,207,"0.02 [0.02, 0.02]",182,"0.02 [0.02, 0.03]","14,742",0.61,5.38x10-4***
n_first_person_singular_to_n_words,207,"0.10 [0.07, 0.14]",182,"0.10 [0.06, 0.14]","19,897",0.53,0.42
words_per_sec,207,"2.40 [2.05, 2.92]",182,"2.72 [2.28, 3.26]","14,549.5",0.61,5.35x10-4***
