var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
audio_predicted_emotion,207,"0.50 [0.43, 0.56]",182,"0.55 [0.46, 0.62]","14,309",0.62,3.00x10-4***
words_per_sec,207,"2.40 [2.05, 2.92]",182,"2.72 [2.28, 3.26]","14,549.5",0.61,3.74x10-4***
pause_duration_per_sec,207,"0.00 [0.00, 0.00]",182,"0.00 [0.00, 0.00]","20,216",0.54,0.12
jitter,207,"0.02 [0.02, 0.02]",182,"0.02 [0.02, 0.03]","14,742",0.61,5.02x10-4***
n_first_person_singular_to_n_words,207,"0.10 [0.07, 0.14]",182,"0.10 [0.06, 0.14]","19,897",0.53,0.34
n_present_to_n_words,207,"0.06 [0.04, 0.09]",182,"0.05 [0.03, 0.08]","20,567",0.55,0.17
pitch_std,207,"151.60 [109.70, 189.75]",182,"139.80 [91.57, 192.33]","19,975",0.53,0.34
