condition,var,n_low,med_low,q1_low,q3_low,n_high,med_high,q1_high,q3_high,stat,p,sig
mdma,Age,5,35.0,35.0,36.0,4,44.0,39.5,46.5,6.0,0.3892842730976598,
mdma,Gender,1,,,,1,,,,0.0,1.0,
mdma,Education,1,,,,1,,,,0.0,1.0,
mdma,ehi_handedness,1,,,,1,,,,0.0,1.0,
mdma,Race,1,,,,1,,,,4.14,0.38739034983446885,
mdma,pclc_total,5,20.0,19.0,20.0,4,21.0,19.0,23.0,9.0,0.9000040960811826,
mdma,PHQ9,5,1.0,1.0,2.0,4,2.0,1.5,2.0,9.0,0.897278961260083,
mdma,GAD7,5,3.0,0.0,3.0,4,0.0,0.0,0.5,15.0,0.22491588401596185,
mdma,ELS,5,0.0,0.0,1.0,4,5.5,4.25,6.0,0.5,0.02370907646413876,*
