biotype,var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
high,vas_loving,4,"75.00 [64.50, 88.00]",4,"75.38 [68.50, 82.81]",9.0,0.56,0.89
low,vas_loving,4,"50.00 [50.00, 52.08]",5,"66.00 [60.00, 72.00]",1.0,0.95,0.03*
