condition,var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
placebo,vas_loving,4,"50.00 [50.00, 52.08]",4,"75.00 [64.50, 88.00]",0.0,1.00,0.03*
mdma_high,vas_loving,5,"66.00 [60.00, 72.00]",4,"75.38 [68.50, 82.81]",6.5,0.68,0.46
