var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
n_second_person_singular_to_n_words,93,"0.01 [0.00, 0.03]",198,"0.00 [0.00, 0.04]","9,336",0.51,0.91
pause_duration_per_sec,93,"0.00 [0.00, 0.08]",198,"0.08 [0.00, 0.29]","6,683",0.64,1.89x10-4***
jitter,93,"0.02 [0.02, 0.03]",198,"0.03 [0.02, 0.03]","7,319",0.60,0.01*
n_first_person_singular_to_n_words,93,"0.08 [0.04, 0.11]",198,"0.08 [0.04, 0.12]","9,127",0.50,0.91
words_per_sec,93,"2.71 [2.38, 3.17]",198,"2.57 [2.09, 3.03]","10,669",0.58,0.05*
