var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
n_second_person_singular_to_n_words,182,"0.00 [0.00, 0.03]",198,"0.00 [0.00, 0.04]","17,931",0.50,0.93
pause_duration_per_sec,182,"0.00 [0.00, 0.00]",198,"0.08 [0.00, 0.29]","10,692.5",0.70,2.81x10-15***
jitter,182,"0.02 [0.02, 0.03]",198,"0.03 [0.02, 0.03]","10,671",0.70,1.63x10-11***
n_first_person_singular_to_n_words,182,"0.10 [0.06, 0.14]",198,"0.08 [0.04, 0.12]","21,412.5",0.59,2.50x10-3**
words_per_sec,182,"2.72 [2.28, 3.26]",198,"2.57 [2.09, 3.03]","21,090",0.59,5.11x10-3**
